,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.5075018716461898,0.4393632219452799,0.15502585347929565,0.3452712720778342,0.3575398487161799,R
1,0.21056502501541066,0.48489256591422625,0.03226311598664014,0.5349133445035159,0.4140211498154965,R
2,0.603882261003739,0.6645736465259027,0.6825729941499343,0.5369326529141624,0.6513177145927705,M
3,0.5238022160415062,0.37482233968378054,0.15507401074364283,0.3729594251556698,0.5576855399239682,R
4,0.5644807440786315,0.6923262039711189,0.707936740196804,0.7323615000399526,0.9625840649246049,M
5,0.3928198478597585,0.5472185129596352,0.3278273441989,0.08981402829010322,0.35437354414953803,R
6,0.1386879706561531,0.44575428947428003,0.5309958908591185,0.0328220995781624,0.50071217599127,R
7,0.4117405039896007,0.4730257620673615,0.45524316721379005,0.5683846186178573,0.3013706820011652,R
8,0.4910361268539537,0.7682913508262126,0.8390603249043117,0.8215428719416888,0.7830731133813573,M
9,0.9578365893701903,0.49452327595878387,0.42656919990652514,0.9832773167907076,0.8900858965446499,M
10,0.6333243912251942,0.551015790748624,0.9837246152767594,0.5351189646810874,0.8731250388270835,M
11,0.023710450833040606,0.4811059286835942,0.31981281532384737,0.18751300717727823,0.14207195675460246,R
12,0.659126377161063,0.6138944864904607,0.8402633356183442,0.7696517854301606,0.7817425052071169,M
13,0.22970203239096584,0.18868460916367774,0.4962255983033936,0.441604090932427,0.5190961556466827,R
14,0.7018517434685887,0.6298687838312275,0.511668865414593,0.6993241108808164,0.9809449568851292,M
15,0.7582033024066019,0.9183000312763623,0.7025317899830568,0.6273768341326869,0.514786892384127,M
16,0.9212496424378698,0.732274086264068,0.5480097822163122,0.9774194196992734,0.524497415219564,M
17,0.41695068790946604,0.5261859507241166,0.8721178838659122,0.8682080787576778,0.8189644667845947,M
18,0.4815819002454713,0.45027263456930877,0.7673282429763821,0.6751287939187005,0.5479071401097615,M
19,0.09239948155819637,0.23984498614491748,0.518405640838422,0.21477309422733148,0.5300737008865013,R
20,0.5415334426772218,0.5664053465613984,0.17318137390810945,0.20461157036095456,0.4561437976840129,R
21,0.10289180862857408,0.4815151416027506,0.5354349166773001,0.3647220193510386,0.04523022274617262,R
22,0.05450539249212366,0.45769671833732095,0.1379425815223752,0.4521694029343807,0.5555777710185339,R
23,0.5322062958309299,0.5161360852057603,0.25713207748456807,0.024127165472766353,0.14268104174071045,R
24,0.5031264070404579,0.5583726393426801,0.929011668052798,0.9698056618328488,0.7609849995988132,M
25,0.52212668445446,0.11667857897828281,0.26791088500795524,0.24594101278342384,0.4134653942691915,R
26,0.9479386675232278,0.9319551767570211,0.8466322015992782,0.6724287466999025,0.8204818985855832,M
27,0.6329205904551821,0.5146855281718785,0.4784537873635619,0.6652133745000923,0.9809339000860486,M
28,0.5776604530515232,0.5097361675411443,0.9804772178286734,0.6599768628007219,0.4298644805000791,M
29,0.6874189957225056,0.7467176799438258,0.9231388240797951,0.6960594556410706,0.5642798588951814,M
30,0.9512970752497103,0.6495138177974894,0.7600283805752842,0.9313210485197441,0.8149777984734672,M
31,0.2827820058873619,0.5427658821764332,0.16872394278369054,0.23381769627419877,0.48334631812223033,R
32,0.04324023417465884,0.4861347879419614,0.41611964702732157,0.11561419147127695,0.01533179354092601,R
33,0.18911345961059978,0.3916164794731894,0.020066671258803077,0.08951501883775265,0.27646804028317445,R
34,0.020634510701511396,0.10780006293659733,0.36145467494185796,0.45138265333753697,0.4451753128693916,R
35,0.8194056909432077,0.9956675332351368,0.7119485931459829,0.5745649768543707,0.8558468232318792,M
36,0.003382719395068674,0.38060120106111267,0.435893004972226,0.178982349036222,0.29395023093756845,R
37,0.632922742149656,0.6972512819528665,0.5130540990949238,0.5975784609105355,0.5923540735264259,M
38,0.5182893545649088,0.9599814245558269,0.9111322550103895,0.6632163154910526,0.4342917603754765,M
39,0.8354113733436215,0.8428632545252615,0.7966949261716032,0.4537931483878328,0.9224756106016225,M
40,0.13886682994096097,0.05487757172053175,0.30383913911927735,0.46425042503691766,0.0789166157580262,R
41,0.4409308139603716,0.5526459396540332,0.45656987092741186,0.32552123660496296,0.2524310499366698,R
42,0.5369604499993686,0.9129416861200538,0.573509807641077,0.7091300644998509,0.8155054835370825,M
43,0.04340396186399127,0.14286163218216968,0.45529002321478473,0.07785891322597184,0.08653295917379221,R
44,0.41644299307640315,0.18154247834259218,0.4942779578964056,0.2606420235790371,0.17716353697272724,R
45,0.12728992199519204,0.2446827058142873,0.08687036419559016,0.5032632466545333,0.440666305625126,R
46,0.6314641095476696,0.783290804199719,0.44870147057050197,0.5847024844520614,0.7814554210444719,M
47,0.13924874490162978,0.04327672704834023,0.3205763826764849,0.31943892164890786,0.2901724688058706,R
48,0.41995507247198943,0.16480802059887803,0.4821607555407432,0.12851215461858567,0.17469007805921732,R
49,0.8145342232253714,0.6552248570234308,0.9700058314947348,0.8504489597209277,0.5980355579737494,M
50,0.8221297497550712,0.620393438787618,0.5248917739633433,0.892446662682709,0.48166070322853993,M
51,0.8523661617117703,0.6520247020655521,0.7038037565645595,0.4773608414874368,0.553385872040013,M
52,0.7758070463974401,0.8755736543298343,0.8594000248011295,0.817292331352883,0.7828671339637416,M
53,0.4958894550029295,0.1733907140868036,0.48608240500012584,0.4813410339328409,0.3004650115152954,R
54,0.8040942655087926,0.5602962637550566,0.47985535322757245,0.9530117488996224,0.49390774447532715,M
55,0.21573433313406287,0.1335118775005616,0.3897522349941342,0.35938996974741355,0.10083194630501897,R
56,0.26900366015276583,0.30650008028552694,0.2729455510769941,0.009161878251586736,0.31362247339657734,R
