,null_deg,sixty_deg,ninety_deg,straight_angle,twofourty_deg,labels
0,0.039346570731782174,0.25796268204682365,0.42893772949165226,0.20387030625138006,0.4022870176531268,R
1,0.2668193074940945,0.13269877982378236,0.379623460828217,0.39950506065553243,0.566912393467281,R
2,0.08795686154296102,0.3492893997340277,0.2700681536286383,0.4724602852695352,0.13078188933613408,R
3,0.14870566030769833,0.4255390372042642,0.3944882522529701,0.39933794697640007,0.02605560237188494,R
4,0.6171818110633687,0.4612048407096412,0.7929087199660912,0.9060820694852968,0.754432793832668,M
5,0.9402004909370707,0.6978690569750914,0.9621986233070228,0.6756300785769038,0.4280827674533036,M
6,0.33211950905271714,0.20808459108691418,0.18279222738433074,0.316604784154042,0.37368245647340687,R
7,0.3327355763507405,0.04088076621358529,0.03760689787808868,0.3591899038807272,0.16583574572332047,R
8,0.9565784236355441,0.8212371242696219,0.5566632330293063,0.4179123989461929,0.7588676634897149,M
9,0.9461310098442803,0.8124253175889702,0.44721687741884764,0.9409463055438296,0.4417647293030206,M
10,0.564724535320606,0.08686167164006565,0.04226918951661967,0.5260898290733835,0.2925091463196422,R
11,0.3091602812277093,0.3795874745205505,0.15898158283177416,0.12472878669069434,0.10559688152876097,R
12,0.981732189221268,0.8545444920165516,0.6345377191796212,0.7675706940593295,0.4260629651326175,M
13,0.3193191503505901,0.08677118465338159,0.00018125763773034896,0.5279587548750562,0.460030576339218,R
14,0.5073247468288159,0.952249990179364,0.6015215149436737,0.724913513463588,0.4635640163265354,M
15,0.11526487971090751,0.39106455595718054,0.015024469692710015,0.05657800823860699,0.5170609047894266,R
16,0.7609747964386967,0.46104139987074577,0.5279727122545615,0.9580860068045685,0.9485032231599757,M
17,0.058854702139762745,0.11435399682569126,0.2360471260156967,0.10156891112234893,0.2899311895070087,R
18,0.5250574481159528,0.5567025551701779,0.6018359346605352,0.5630439874299634,0.9643921874499717,M
19,0.32127993844162367,0.35710890615245483,0.5051099269074091,0.18702000130224447,0.1336684568507638,R
20,0.7972429839413332,0.712693427894213,0.7570911508842956,0.971601158936265,0.9556359872183398,M
21,0.9676798756632754,0.5040503200718727,0.8570624496876647,0.8548302931116721,0.992530200400441,M
22,0.42138509224374415,0.8908393913417086,0.6894267456838135,0.7145438918800917,0.7033498386843522,M
23,0.9633086765475507,0.9710244272522119,0.5231056387419188,0.6000770400932343,0.5603726713894099,M
24,0.6796831147963848,0.9566680083773154,0.7689208365071201,0.7624705115675307,0.9390413836591986,M
25,0.34984739839985074,0.5587451853862743,0.241499088369122,0.4748105861937177,0.4140080411260889,R
26,0.39392697705751334,0.2891105513820198,0.3917857199433101,0.3373964023195949,0.4365392324707497,R
27,0.636971129318402,0.7569886843954299,0.9903467158262269,0.43738906054580573,0.5849920480239152,M
28,0.6048797936646917,0.8062964842070657,0.9590717743588901,0.7186753548698253,0.9881779317349615,M
29,0.8844267862752393,0.795908934219349,0.628294421370222,0.49306273108477494,0.7332968331516424,M
30,0.10818741030413093,0.572779035663171,0.35941227345443,0.2649860055063955,0.41212679525294277,R
31,0.003771028217870009,0.25193266195067976,0.49878944495546146,0.332845211872224,0.26258772054014834,R
32,0.5167468867367185,0.3402850624272945,0.31995381726734606,0.30565999150336975,0.05800210635715907,R
33,0.078189956984238,0.41027484976488776,0.17902518144661256,0.07025985609350845,0.058421596213202705,R
34,0.4151250001328921,0.5270637364673644,0.038359525927658976,0.2986132737048303,0.08438342449874317,R
35,0.5793729496662522,0.6873312250577788,0.7222667845899633,0.874577897008213,0.5253052980100561,M
36,0.186006444841912,0.18173428450781048,0.43847956720658143,0.0358930293703187,0.09449641063106812,R
37,0.3957017433730251,0.31893020637394787,0.04290450574001332,0.2606629409485976,0.21361780721049906,R
38,0.6520721573259189,0.9094207226220276,0.44434070294577027,0.5538751022082357,0.5243651937828029,M
39,0.8606869114091548,0.4454317223917232,0.7466779973964761,0.8626947419894577,0.968254102670514,M
40,0.8790258278145064,0.708953899282717,0.5442058064801902,0.9199283555347644,0.7875992956029987,M
41,0.4834961601743348,0.8201096992286252,0.6164759141582924,0.48710614179791484,0.4337218740597345,M
42,0.49131177190433895,0.9900292611128678,0.48167150947803045,0.4372128654430534,0.8113335515095862,M
43,0.990113602244032,0.6496497289574596,0.45948252192846917,0.7543395906378454,0.6903853852722623,M
44,0.24550471958610434,0.1906016956578532,0.5317682742722017,0.27492424984484964,0.054949754220514284,R
45,0.9454354444754305,0.7876045435222914,0.9005808924426798,0.9744651431752476,0.9402630810822648,M
46,0.7790068215611863,0.6105926501227324,0.8376333456695924,0.7104755124839117,0.8141852393873084,M
47,0.5578131465071511,0.9012480183031464,0.5054571060029736,0.9007094952669159,0.941387789499766,M
48,0.5764800886680401,0.5372896968586827,0.5398284929257292,0.7300722875388408,0.9175509722039425,M
49,0.7538470404296914,0.9376602626752903,0.4613839715997612,0.8709509513689737,0.8729389297976946,M
